type	freq
crudely	240
crudeness	13
cruder	57
crudest	42
crudites	2
crudities	13
crudity	31
cruel	1321
crueller	12
cruellest	42
cruelly	244
cruelties	31
cruelty	784
cruet	10
cruets	4
cruise	962
cruised	131
cruiser	204
cruisers	84
cruiserweight	18
cruises	213
cruising	427
crumb	79
crumbed	2
crumble	241
crumbled	170
crumbles	51
crumbling	472
crumbly	37
crumbs	274
crumby	2
crumhorns	1
crummy	30
crumpet	31
crumpets	31
crumple	42
crumpled	382
crumples	6
crumpling	27
crunch	375
crunched	100
crunches	18
crunchier	1
crunchiness	1
crunching	149
crunchy	97
crupper	2
cruppers	1
crural	2
crusade	535
crusaded	3
crusader	106
crusaders	167
crusades	107
crusading	96
crush	488
crushed	1018
crusher	37
crushers	10
crushes	39
crushing	435
crushingly	17
crust	680
crustacea	26
crustacean	31
crustaceans	86
crustal	123
crusted	54
crustier	4
crustiness	1
crusts	73
crusty	143
crutch	111
crutches	121
crux	221
cruxes	1
cruzado	8
cruzados	15
cruzeiro	10
cry	3131
crying	1879
cryogenic	9
cryogenics	2
cryonic	8
cryonics	1
cryopreservation	1
cryostat	21
cryosurgery	1
crypt	354
cryptanalyst	1
cryptanalysts	3
cryptic	183
cryptically	41
crypto	20
cryptogam	1
cryptogamic	14
cryptogram	4
cryptograms	2
cryptographer	9
cryptographers	2
cryptographic	5
cryptography	7
cryptology	3
cryptosporidia	6
cryptosporidiosis	32
cryptosporidium	49
crypts	131
crystal	2128
crystalline	277
crystallisation	46
crystallise	35
crystallised	85
crystallises	15
crystallising	25
crystallite	19
crystallites	32
crystallization	103
crystallize	60
crystallized	91
crystallizes	12
crystallizing	25
crystallographer	4
crystallographers	5
crystallographic	71
crystallography	34
crystals	591
ctenophore	1
ctenophores	4
cu	280
cuatro	1
cub	165
cubby	37
cubbyhole	18
cubbyholes	2
cube	408
cubed	95
cubes	233
cubic	436
cubical	11
cubicle	171
cubicles	68
cubiform	9
cubing	13
cubism	175
cubist	168
cubists	63
cubit	9
cubits	5
cuboid	32
cuboidal	4
cubs	212
cuckold	17
cuckolded	21
cuckolding	3
cuckolds	2
cuckoo	436
cuckoos	85
cucumber	210
cucumbers	42
cud	73
cuddle	172
cuddled	84
cuddles	57
cuddling	128
cuddly	158
cuddy	18
cudgel	25
cudgels	22
cuds	2
cue	464
cued	36
cueing	25
cues	441
cuesta	8
cuff	226
cuffed	54
cuffing	13
cufflink	3
cufflinks	25
cuffs	197
cuirass	10
cuisine	484
cuisines	17
cul	165
culex	9
culinary	246
cull	89
culled	117
cullender	2
culler	24
cullet	6
culling	81
cullis	12
culls	7
cully	18
culm	6
culminate	81
culminated	315
culminates	56
culminating	379
culmination	302
culminations	4
culotte	8
culottes	34
culpa	20
culpability	62
culpable	71
culpably	15
culprit	191
culprits	149
cult	931
cultism	2
cultist	4
cultists	9
cultivar	9
cultivars	32
cultivate	282
cultivated	633
cultivates	22
cultivating	136
cultivation	764
cultivations	25
cultivator	25
cultivators	85
cults	146
cultural	6810
culturally	367
culture	8766
cultured	356
cultures	1675
culvert	53
culverts	12
cum	306
cumber	8
cumbered	4
cumbering	2
cumbers	1
cumbersome	293
cumbersomeness	2
cumbrous	13
cumin	53
cummerbund	12
cummerbunds	2
cummin	6
cumulate	6
cumulated	8
cumulation	8
cumulations	9
cumulative	718
cumulatively	32
cumulo	4
cumulus	54
cuneiform	15
cunnilingus	20
cunning	455
cunningest	1
cunningly	89
cup	12255
cupboard	1381
cupboards	490
cupful	20
cupid	80
cupidity	11
cupids	38
cupola	60
cupolas	25
cuppa	94
cuppas	6
cupped	184
cupping	80
cupreous	1
cupric	1
cuprous	1
cups	1295
cur	21
curable	35
curacao	8
curacy	28
curandero	2
curare	21
curate	250
curated	83
curates	33
curative	105
curator	497
curatorial	58
curators	136
curatorship	6
curb	555
curbed	88
curbing	128
curbs	125
curd	109
curdle	58
curdled	29
curdles	7
curdling	35
curds	56
cure	1525
cured	462
cures	175
curettage	34
curfew	248
curfews	38
curia	140
curiae	22
curial	23
curias	7
curie	39
curies	27
curing	124
curio	12
curios	22
curiosities	59
curiosity	1072
curious	2107
curiously	886
curl	438
curled	730
curler	12
curlers	77
curlew	91
curlews	33
curlicue	4
curlicues	20
curlier	5
curliest	1
curliness	2
curling	382
curls	604
curly	460
curmudgeon	8
curmudgeonly	3
curmudgeons	3
curragh	43
curraghs	1
currant	74
currants	81
currencies	745
currency	3672
current	14548
currently	7033
currents	740
curricle	5
curricula	258
curricular	440
curriculum	5367
curriculums	10
curried	28
curries	35
curry	550
currycomb	1
currying	14
curs	6
curse	512
cursed	399
curses	154
cursing	269
cursive	69
cursively	4
cursor	346
cursorily	16
cursors	15
cursory	160
curt	158
curtail	140
curtailed	272
curtailing	55
curtailment	80
curtailments	3
curtails	10
curtain	1398
curtained	99
curtaining	15
curtains	1873
curter	1
curtest	1
curtilage	24
curtly	190
curtness	9
curtsey	30
curtseyed	3
curtseying	5
curtseys	5
curtsied	21
curtsies	7
curtsy	35
curtsying	5
curvaceous	34
curvature	434
curvatures	13
curve	2583
curved	1058
curves	867
curvet	1
curvilinear	51
curving	330
curvy	24
cuscus	5
cush	2
cushiest	1
cushion	525
cushioned	142
cushioning	87
cushions	443
cushite	1
cushitic	2
cushy	26
cusp	76
cuspate	3
cusps	26
cuss	16
cussed	10
cussedness	6
cusses	1
cussing	6
custard	274
custards	12
custodial	278
custodian	133
custodians	104
custodianship	25
custodianships	1
custodies	1
custody	1475
custom	1573
customarily	88
customary	812
customer	4730
customers	6711
customise	45
customised	130
customises	1
customising	17
customize	7
customized	21
customizing	1
customs	2238
cut	18610
cutaneous	22
cute	300
cutely	8
cuteness	7
cutey	5
cuticle	100
cuticles	32
cutlass	10
cutlasses	8
cutlery	309
cutlet	12
cutlets	33
cuts	4153
cutter	392
cutters	249
cutting	4255
cuttings	506
cuttle	11
cuttlefish	15
cutworms	1
cuvette	4
cuz	2
cwm	37
cyan	28
cyanamid	15
cyanide	96
cyanobacteria	12
cyanogen	1
cyanosis	13
cyanotic	6
cybernetic	27
cybernetics	27
cyberpunk	13
cyberspace	11
cyborg	15
cyborgs	4
cycad	8
cycads	12
cycladic	37
cyclamate	2
cyclamates	1
cyclamen	40
cyclamens	5
cyclase	82
cyclases	1
cycle	3550
cycled	189
cycles	890
cyclic	285
cyclical	202
cycling	877
cyclist	252
cyclists	520
cyclo	41
cyclone	95
cyclones	18
cyclopaedia	5
cyclopaedias	1
cyclopean	12
cyclopes	3
cyclophosphamide	18
cyclops	36
cyclorama	4
cyclosporin	231
cyclosporine	4
cyclotron	32
cygnet	13
cygnets	15
cygnus	36
cylinder	1053
cylinders	333
cylindrical	184
cymbal	21
cymbals	47
cymric	2
cynic	63
cynical	745
cynically	134
cynicism	264
cynics	103
cynosure	6
cypher	39
cyphers	20
cypress	193
cypresses	45
cyprinid	2
cyprinids	2
cyrenaica	11
cyrenaican	1
cyrillic	34
cyst	43
cysteine	34
cysteines	8
cystic	245
cystitis	93
cystoscopy	43
cysts	53
cytochrome	78
cytochromes	9
cytogenetic	28
cytogenetically	4
cytogeneticist	4
cytogeneticists	1
cytogenetics	5
cytological	23
cytology	83
cytomegalovirus	64
cytoplasm	127
cytoplasmic	193
cytosine	46
cytosol	16
cytosolic	19
cytotoxic	45
cytotoxicity	31
czar	40
czarina	7
czarist	10
czars	4
d	82978
dab	157
dabbed	119
dabbing	50
dabble	64
dabbled	56
dabbler	7
dabblers	9
dabbles	4
dabbling	79
dabs	77
dace	88
dacha	45
dachas	4
dachshund	17
dachshunds	9
dacoits	4
dacron	32
dactyl	1
dactylic	6
dactyls	1
dad	6583
daddies	23
daddy	2129
dado	50
dadoes	1
dads	109
daemon	81
daemonological	3
daemons	68
daffodil	110
daffodils	218
daffy	29
daft	638
dafter	9
daftest	8
daftly	1
daftness	9
dagger	305
daggerboard	73
daggerboards	4
daggers	95
dago	7
dagoes	1
dagos	1
daguerreotype	17
daguerreotypes	10
daguerrotype	7
daguerrotypes	4
dahlia	25
dahlias	37
daikon	1
dailies	112
daily	7544
daimon	3
daintier	3
dainties	3
daintiest	3
daintily	47
daintiness	5
dainty	141
daiquiri	4
daiquiris	2
dairies	87
dairy	952
dairying	41
dais	114
daises	3
daisies	156
daisy	651
dak	23
dal	233
dalasi	2
dale	749
dalek	161
daleks	111
dales	383
dall	60
dalliance	37
dalliances	6
dallied	28
dallies	1
dally	45
dallying	14
dalradian	64
dam	655
dama	1
damage	8333
damaged	2645
damager	3
damages	2265
damaging	1523
damas	7
damascene	5
damascenes	2
damask	78
damasks	9
dame	863
dames	48
daminozide	1
dammed	45
damming	34
dammit	127
damn	1915
damnable	27
damnably	13
damnation	102
damndest	3
damned	905
damnedest	24
damning	144
damns	10
damozel	2
damp	1945
damped	69
dampen	122
dampened	140
dampener	7
dampening	44
dampens	12
damper	93
dampers	32
dampest	3
damping	128
damply	26
dampness	121
damps	4
dams	187
damsel	67
damselfish	5
damselflies	4
damselfly	6
damsels	37
damson	34
damsons	12
dance	4509
danceable	9
danced	771
dancer	587
dancers	829
dances	690
dancing	2493
dandelion	140
dandelions	42
dandies	14
dandle	3
dandled	5
dandles	1
dandling	2
dandruff	70
dandy	111
danegeld	3
danegelds	1
danger	5846
dangerous	5647
dangerously	576
dangers	1609
dangle	63
dangled	128
dangler	5
danglers	3
dangles	20
dangling	336
danio	3
danios	16
dank	133
danker	4
dankly	1
dankness	4
dans	58
danse	38
danseuse	6
daphnia	42
dapper	76
dapperly	2
dapple	6
dappled	130
dapples	2
dappling	19
dare	1871
dared	878
daredevil	43
daredevilry	2
daredevils	4
dares	97
daresay	172
daring	693
daringly	34
dark	13321
darken	100
darkened	536
darkening	213
darkens	17
darker	711
darkest	167
darkie	11
darkies	1
darkling	9
darkly	261
darkness	3219
darky	4
darlin	37
darling	2418
darlings	63
darn	76
darned	59
darnel	11
darning	36
darns	1
dart	329
darted	274
darting	175
darts	318
dash	771
dashboard	162
dashboards	3
dashed	607
dasher	5
dashers	1
dashes	89
dashing	277
dashpot	12
dashpots	2
dastardly	34
data	18424
database	3347
databases	1035
datable	59
date	18017
dated	1774
dates	2704
dating	1394
dative	4
dato	9
datum	60
datura	12
daub	38
daubed	89
dauber	6
daubers	1
daubing	11
daubs	9
daughter	9515
daughters	2064
daunt	28
daunted	75
daunting	473
dauntingly	20
dauntless	159
daunts	1
dauphin	59
dauphine	4
davit	3
davits	7
daw	17
dawdle	22
dawdled	26
dawdlers	1
dawdles	4
dawdling	33
dawg	50
dawgs	4
dawn	2403
dawned	288
dawning	138
dawns	70
day	66764
dayglo	31
daylight	970
daylights	36
days	32215
daze	107
dazed	233
dazedly	39
dazing	2
dazzle	124
dazzled	152
dazzler	11
dazzlers	1
dazzles	10
dazzling	506
dazzlingly	25
dbase	86
dds	4
deacon	276
deaconess	42
deaconesses	5
deacons	77
deactivate	10
deactivated	10
deactivates	3
deactivating	1
deactivation	4
dead	12243
deadbeat	8
deadbeats	3
deadbolt	3
deaden	16
deadened	22
deadening	42
deadens	4
deader	4
deadest	6
deadeye	3
deadfall	3
deadhead	7
deadheads	5
deadlier	8
deadliest	28
deadlift	3
deadline	929
deadlines	182
deadlock	271
deadlocked	67
deadlocking	6
deadlocks	10
deadly	799
deadpan	58
deadpans	4
deaf	2710
deafen	12
deafened	75
deafening	184
deafeningly	20
deafens	3
deafer	4
deafness	171
deal	17016
dealer	1833
dealers	1775
dealership	47
dealerships	29
dealing	5822
dealings	881
deals	2459
dealt	3450
deaminase	7
dean	1836
deanery	67
deans	109
deanship	3
dear	8522
dearer	125
dearest	328
dearie	37
dearly	347
dears	71
dearth	119
death	20324
deathless	16
deathlike	4
deathly	93
deaths	2424
deaves	18
deb	44
debacle	131
debacles	6
debar	23
debark	1
debarked	1
debarred	96
debarring	7
debars	3
debase	19
debased	64
debasement	45
debasements	1
debases	2
debasing	9
debatable	209
debate	7292
debated	666
debater	17
debaters	10
debates	1188
debating	405
debauch	10
debauched	24
debaucher	1
debauchery	53
debauches	2
debauching	2
debe	1
debenture	168
debentures	226
debilitate	2
debilitated	29
debilitating	167
debilitation	6
debilitative	2
debilities	3
debility	32
debit	272
debited	53
debiting	15
debits	67
debonair	54
debonairly	1
debone	1
debouch	2
debouched	5
debouches	3
debouching	3
debouchment	1
debridement	4
debrief	15
debriefed	12
debriefing	45
debriefings	3
debris	753
debs	28
debt	5599
debtor	916
debtors	380
debts	1868
debug	19
debugged	5
debugger	39
debuggers	6
debugging	72
debunk	13
debunked	7
debunker	1
debunking	18
debunks	3
debut	1586
debutant	28
debutante	24
debutantes	18
debutants	8
debuts	74
dec	4557
decade	3726
decadence	102
decadent	97
decades	2449
decaf	4
decaffeinated	26
decagon	4
decal	2
decalogue	6
decals	2
decamp	11
decamped	35
decamping	8
decampment	1
decamps	3
decant	15
decanted	30
decanter	66
decanters	21
decanting	14
decants	1
decapitate	9
decapitated	61
decapitates	1
decapitating	5
decapitation	20
decasyllabic	3
decathlete	18
decathletes	1
decathlon	28
decay	1042
decayed	147
decaying	271
decays	82
decease	11
deceased	785
deceit	209
deceitful	77
deceitfully	4
deceitfulness	8
deceits	20
deceive	243
deceived	299
deceiver	18
deceivers	7
deceives	23
deceiving	136
decelerate	29
decelerated	7
decelerates	4
decelerating	17
deceleration	124
decelerations	6
december	9507
decencies	22
decency	328
decennial	20
decent	1821
decently	126
decentralisation	207
decentralise	28
decentralised	147
decentralising	17
decentralization	255
decentralize	27
decentralized	98
decentralizing	24
decentre	3
deception	733
deceptions	53
deceptive	224
deceptively	141
deceptiveness	4
decibel	49
decibels	60
decide	6576
decided	14616
decidedly	421
decidendi	27
decider	101
deciders	1
decides	884
deciding	1966
deciduous	92
decile	15
deciles	2
decimal	422
decimals	114
decimate	23
decimated	104
decimates	2
decimating	14
decimation	15
decimations	1
decipher	111
decipherable	8
deciphered	29
deciphering	39
decision	18440
decisions	7483
decisive	1202
decisively	291
decisiveness	42
deck	1505
decked	118
decking	32
deckle	8
decks	239
declaim	14
declaimed	33
declaimers	1
declaiming	21
declaims	3
declamatory	26
declaration	2028
declarations	272
declarative	43
declare	936
declared	4445
declarer	26
declarers	3
declares	350
declaring	616
declassified	15
declassify	2
declension	4
declensions	2
decline	4683
declined	2018
declines	304
declining	1107
declivities	6
declivity	6
deco	107
decoction	9
decoctions	1
decode	74
decoded	53
decoder	55
decoders	36
decodes	17
decoding	125
decolletage	2
decolonisation	14
decolonise	2
decolonised	3
decolonising	1
decolonization	28
decolonize	1
decolonizing	1
decommission	5
decommissioned	22
decommissioning	99
decompose	46
decomposed	88
decomposer	1
decomposers	2
decomposes	18
decomposing	61
decomposition	166
decompress	9
decompressed	11
decompresses	2
decompressing	2
decompression	110
decompressors	1
decongestant	5
decongestants	3
deconstruct	19
deconstructed	23
deconstructing	12
deconstruction	122
deconstructionism	4
deconstructionist	15
deconstructionists	10
deconstructions	3
deconstructive	35
deconstructs	6
decontaminate	5
decontaminated	4
decontaminates	1
decontaminating	5
decontamination	35
decontrol	17
decontrolled	6
decontrolling	1
decor	347
decorate	374
decorated	1328
decorates	12
decorating	385
decoration	941
decorations	419
decorative	923
decoratively	27
decorator	111
decorators	80
decorous	42
decorously	28
decorousness	1
decors	3
decorum	92
decorums	1
decoupage	5
decouple	2
decoupled	12
decoupling	11
decoy	78
decoyed	2
decoying	1
decoys	23
decrease	1206
decreased	782
decreases	403
decreasing	449
decree	859
decreed	286
decreeing	14
decrees	267
decrement	59
decrements	12
decrepit	94
decrepitude	24
decrescendo	1
decrescendos	1
decretal	10
decried	35
decries	6
decriminalisation	9
decriminalise	1
decriminalised	6
decriminalization	3
decriminalize	3
decriminalized	2
decriminalizing	1
decry	30
decrying	13
decrypt	3
decrypted	3
decryption	1
decrypts	2
decurion	1
decurions	1
decussate	1
dedans	3
dedicate	106
dedicated	1940
dedicatedly	2
dedicates	13
dedicating	34
dedication	624
dedications	34
deduce	224
deduced	302
deduces	11
deducible	14
deducing	38
deduct	160
deducted	350
deductibility	9
deductible	83
deducting	59
deduction	409
deductions	221
deductive	152
deductively	6
deducts	11
deed	665
deeds	607
deejay	3
deejaying	5
deejays	3
deem	116
deemed	1408
deeming	21
deems	90
deep	11076
deepen	171
deepened	311
deepening	309
deepens	74
deeper	1967
deepest	480
deeply	3627
deer	946
dees	18
deface	15
defaced	58
defacement	6
defacing	19
defamation	146
defamations	6
defamatory	110
defame	10
defamed	17
defames	4
defaming	5
defanged	1
default	1023
defaulted	53
defaulter	12
defaulters	52
defaulting	47
defaults	98
defeasance	1
defeat	3588
defeated	1749
defeating	332
defeatism	31
defeatist	51
defeatists	6
defeats	438
defecate	41
defecated	9
defecating	8
defecation	66
defecations	6
defecatory	1
defect	751
defected	114
defecting	32
defection	192
defections	56
defective	748
defectively	2
defectiveness	3
defector	53
defectors	74
defects	877
defence	12067
defenceless	165
defences	1095
defend	2021
defendant	3350
defendants	1608
defended	989
defender	1203
defenders	651
defending	1192
defends	183
defenestrated	1
defenestration	12
defense	205
defenses	1
defensible	92
defensive	1252
defensively	202
defensiveness	41
defer	215
deference	306
deferences	1
deferent	4
deferential	96
deferentially	28
deferment	42
deferments	1
deferral	38
deferrals	2
deferred	610
deferring	71
defers	13
defi	3
defiance	516
defiant	340
defiantly	294
defibrillate	1
defibrillation	16
defibrillations	1
defibrillator	24
defibrillators	6
deficiencies	399
deficiency	689
deficient	282
deficit	2374
deficits	338
defied	270
defies	104
defile	37
defiled	36
defilement	18
defilements	1
defiler	2
defilers	3
defiles	9
defiling	12
definable	96
define	2414
defined	6364
defines	633
defining	1144
definite	1559
definitely	3056
definiteness	20
definition	4887
definitional	64
definitions	1315
definitive	594
definitively	72
deflate	58
deflated	113
deflates	5
deflating	30
deflation	133
deflationary	66
deflations	2
deflect	169
deflected	185
deflecting	48
deflection	121
deflections	15
deflects	20
deflower	2
deflowered	8
deflowering	8
defocused	3
defocusing	2
defoliant	4
defoliants	9
defoliate	3
defoliated	7
defoliation	17
deforest	1
deforestation	187
deforested	19
deform	27
deformation	214
deformations	29
deformed	207
deforming	15
deformities	61
deformity	81
deforms	10
defraud	109
defrauded	30
defrauder	1
defrauding	33
defray	45
defrayed	6
defraying	4
defrays	1
defrock	1
defrocked	5
defrocking	2
defrost	59
defrosted	19
defrosting	16
defrosts	3
deft	121
defter	2
deftest	2
deftly	155
deftness	19
defunct	179
defuse	153
defused	78
defuses	4
defusing	38
defy	305
defying	175
deg	65
degage	1
degassed	1
degassing	6
degaussing	4
degeneracies	5
degeneracy	98
degenerate	305
degenerated	113
degenerates	29
degenerating	43
degeneration	136
degenerative	55
deglaze	2
deglazing	1
degradation	464
degradations	5
degrade	75
degraded	183
degrades	41
degrading	186
degrease	3
degreaser	19
degreasers	14
degreasing	7
degree	9998
degrees	3064
dehiscence	3
dehiscent	1
dehorn	2
dehorned	3
dehorning	1
dehumanisation	7
dehumanised	11
dehumanises	4
dehumanising	21
dehumanization	5
dehumanize	1
dehumanized	10
dehumanizes	2
dehumanizing	13
dehydrate	11
dehydrated	83
dehydrates	4
dehydrating	10
dehydration	121
dehydrogenase	49
dehydrogenation	2
dei	208
deictic	253
deification	22
deified	31
deify	4
deign	22
deigned	38
deigning	4
deigns	5
deism	10
deist	2
deistic	3
deities	142
deity	305
deixis	190
dejected	85
dejectedly	35
dejection	40
dejeuner	6
dekko	12
delation	4
delay	3194
delayed	1765
delaying	333
delays	1087
dele	13
delectable	100
delectably	4
delectation	17
delegate	688
delegated	546
delegates	1590
delegating	77
delegation	1566
delegations	255
delegitimization	1
delete	465
deleted	428
deleterious	119
deletes	37
deleting	105
deletion	358
deletions	119
delf	4
delfs	2
delftware	3
deli	48
deliberate	1385
deliberated	41
deliberately	2699
deliberates	4
deliberating	29
deliberation	208
deliberations	241
deliberative	42
delicacies	85
delicacy	293
delicate	1698
delicately	345
delicatessen	93
delicatessens	44
delicious	1098
deliciously	109
deliciousness	6
delict	24
delicts	2
delight	1911
delighted	2759
delightedly	59
delightful	1069
delightfully	175
delighting	63
delights	400
delimit	23
delimitation	24
delimited	52
delimiting	17
delimits	4
delineate	50
delineated	101
delineates	17
delineating	32
delineation	59
delineations	2
delinquencies	8
delinquency	171
delinquent	205
delinquently	1
delinquents	85
deliquesce	2
deliquescence	1
deliquescing	1
delirious	112
deliriously	16
delirium	100
deliriums	1
delis	8
delist	3
delisted	4
delisting	8
deliver	2115
deliverance	170
deliverances	9
delivered	3053
deliverer	20
deliverers	7
deliveries	523
delivering	902
delivers	342
delivery	3614
dell	467
dells	15
deloused	2
delousing	1
delphic	26
delphinia	9
delphinium	11
delphiniums	28
delphinus	6
delta	711
deltas	52
deltic	20
deltics	5
deltoid	15
deltoids	4
delude	45
deluded	91
deludes	2
deluding	31
deluge	124
deluged	34
deluges	1
deluging	3
delusion	181
delusional	12
delusions	112
delusive	11
deluxe	99
delve	93
delved	49
delves	31
delving	66
demagogue	20
demagoguery	4
demagogy	17
demand	11032
demanded	3522
demanding	2384
demands	5677
demarcate	21
demarcated	49
demarcates	3
demarcating	14
demarcation	168
demarcations	23
demarche	4
dematerialisation	9
dematerialise	4
dematerialised	5
dematerialises	3
dematerialization	2
dematerialize	6
dematerialized	2
deme	40
demean	22
demeaned	9
demeaning	118
demeanor	1
demeanour	185
demeanours	4
demeans	4
dement	19
demented	175
dementedly	8
dementia	671
dementias	1
dementing	51
demerara	21
demerge	7
demerged	7
demerger	41
demerging	3
demerit	3
demerits	20
demerol	4
demersal	3
demes	23
demesne	120
demesnes	20
demigod	1
demigods	9
demijohn	4
demijohns	2
demilitarisation	38
demilitarised	15
demilitarization	18
demilitarized	33
demise	685
demised	154
demises	9
demit	2
demitasse	1
demits	1
demitted	2
demitting	3
demiurge	1
demo	238
demob	28
demobbed	29
demobilisation	47
demobilised	17
demobilising	2
demobilization	62
demobilize	10
demobilized	42
demobilizing	3
democracies	349
democracy	4426
democrat	1026
democratic	6093
democratically	180
democratisation	72
democratise	12
democratised	7
democratising	14
democratization	108
democratize	9
democratized	16
democratizes	1
democratizing	7
democrats	1990
demographer	7
demographers	20
demographic	764
demographically	16
demographics	33
demography	136
demoiselle	14
demoiselles	73
demolish	199
demolished	718
demolishes	10
demolishing	105
demolition	573
demolitions	29
demon	315
demonic	102
demonically	5
demonise	1
demonised	5
demonising	2
demonize	1
demonized	7
demonizing	6
demonology	22
demons	296
demonstrable	89
demonstrably	108
demonstrate	2373
demonstrated	2695
demonstrates	909
demonstrating	749
demonstration	1867
demonstrations	1460
demonstrative	89
demonstratively	15
demonstratives	36
demonstrator	85
demonstrators	761
demoralisation	31
demoralise	16
demoralised	92
demoralising	70
demoralization	32
demoralize	7
demoralized	52
demoralizes	2
demoralizing	35
demos	105
demote	14
demoted	70
demotes	2
demotic	18
demoting	13
demotion	68
demotions	5
demotivate	3
demotivated	6
demotivates	1
demotivating	8
demountable	11
dems	96
demur	59
demure	72
demurely	56
demurred	72
demurring	6
demurs	9
demy	9
demyelinating	2
demyelination	6
demystification	23
demystified	16
demystifies	4
demystify	20
demystifying	14
demythologise	4
demythologised	2
demythologising	5
demythologize	4
demythologized	1
demythologizing	4
den	475
denarii	9
denarius	14
denationalisation	12
denationalised	3
denationalization	17
denationalize	1
denationalized	4
denationalizing	2
denaturant	1
denature	6
denatured	38
denatures	1
denaturing	29
dendrite	11
dendrites	45
dendritic	48
dendrochronological	2
dendrochronologist	2
dendrochronology	31
dendron	3
dengue	18
deniable	5
denial	808
denials	125
denied	3697
denier	16
deniers	1
denies	778
denigrate	71
denigrated	43
denigrates	5
denigrating	34
denigration	45
denim	243
denims	54
denitrification	29
denitrified	2
denitrify	2
denitrifying	1
denizen	20
denizens	76
denominate	3
denominated	79
denominating	1
denomination	123
denominational	165
denominations	268
denominator	188
denominators	22
denotation	15
denotations	2
denotative	4
denote	274
denoted	214
denotes	234
denoting	133
denotive	4
denouement	42
denouements	2
denounce	148
denounced	543
denouncement	4
denounces	34
denouncing	144
dens	59
dense	923
densely	268
denseness	5
denser	106
densest	27
densities	287
densitometer	12
densitometric	6
densitometry	15
density	1700
dent	355
dental	619
dentally	3
dentate	12
dented	151
dentil	5
dentils	2
dentine	59
denting	20
dentist	560
dentistry	62
dentists	294
dentition	22
dents	36
denture	6
dentures	61
denudation	44
denude	3
denuded	61
denuding	7
denunciation	115
denunciations	59
deny	2200
denying	830
deodorant	55
deodorants	25
deodoriser	1
deodorize	1
deoxyribonucleic	19
deoxyribose	8
depart	431
departed	636
departing	306
department	17607
departmental	994
departmentally	12
departments	4229
departs	129
departure	2282
departures	391
depend	3447
dependability	40
dependable	133
dependably	5
dependant	150
dependants	274
depended	1194
dependence	1341
dependences	9
dependencies	58
dependency	856
dependent	4181
dependents	113
depending	2715
depends	4930
depersonalisation	4
depersonalise	2
depersonalised	7
depersonalising	8
depersonalization	7
depersonalize	3
depersonalized	12
depersonalizing	5
depict	226
depicted	663
depicting	382
depiction	173
depictions	55
depicts	206
depilatories	3
depilatory	8
deplane	2
deplete	42
depleted	326
depletes	3
depleting	86
depletion	364
deplorable	144
deplorably	16
deplore	94
deplored	188
deplores	41
deploring	49
deploy	218
deployable	1
deployed	602
deploying	104
deployment	560
deployments	32
deploys	30
depolarisation	21
depolarise	2
depolarised	2
depolarises	1
depolarising	2
depolarization	22
depolarize	8
depolarized	19
depolarizing	8
depoliticisation	5
depoliticise	1
depoliticised	8
depoliticization	22
depoliticize	4
depoliticized	3
deponent	14
deponents	1
depopulate	5
depopulated	17
depopulating	3
depopulation	137
deport	40
deportation	186
deportations	61
deported	202
deportee	4
deportees	65
deporting	18
deportment	50
deports	2
depose	47
deposed	219
deposes	3
deposing	11
deposit	2055
deposited	734
depositing	98
deposition	473
depositional	56
depositions	47
depositor	62
depositors	179
depository	33
deposits	1948
depot	685
depots	141
deprave	44
depraved	69
depraves	2
depraving	8
depravities	2
depravity	69
deprecate	11
deprecated	15
deprecates	3
deprecating	64
deprecatingly	12
deprecation	20
depreciate	41
depreciated	61
depreciates	5
depreciating	30
depreciation	516
depreciations	1
depredation	7
depredations	73
depress	144
depressant	29
depressants	37
depressed	1601
depresses	44
depressing	677
depressingly	74
depression	2254
depressions	110
depressive	190
depressives	13
depressurisation	4
depressurize	1
deprivation	843
deprivations	53
deprive	333
deprived	1147
deprives	58
depriving	214
dept	329
depth	3445
depths	1067
depts	8
deputation	111
deputations	23
depute	105
deputed	23
deputes	3
deputies	1190
deputing	2
deputise	27
deputised	15
deputises	8
deputising	44
deputize	2
deputized	5
deputizes	2
deputizing	8
deputy	4043
deracinated	4
derail	16
derailed	45
derailing	5
derailleur	4
derailment	31
derailments	1
derails	2
derange	4
deranged	103
derangement	18
derangements	2
deranges	2
deranging	4
derated	1
derating	3
derbies	25
derby	1587
derbys	26
derecho	2
deregulate	27
deregulated	62
deregulating	20
deregulation	440
deregulatory	18
derelict	560
dereliction	120
derelictions	3
derelicts	14
deride	24
derided	105
derides	7
deriding	9
derision	137
derisive	91
derisively	73
derisory	87
derivation	203
derivations	27
derivative	332
derivatives	307
derive	919
derived	3616
derives	614
deriving	318
derm	1
dermal	16
dermatitis	52
dermatological	21
dermatologist	19
dermatologists	39
dermatology	32
dermis	10
derogate	17
derogated	9
derogates	2
derogating	2
derogation	40
derogations	31
derogatorily	2
derogatory	104
derrick	92
derricks	5
derridean	7
derriere	6
derrieres	1
derringer	1
derris	5
derv	6
dervish	29
dervishes	19
desalinated	2
desalination	34
descale	3
descaling	9
descant	11
descend	420
descendant	250
descendants	525
descended	764
descender	7
descenders	10
descending	562
descends	168
descent	1050
descents	39
describe	4245
described	14689
describer	5
describers	8
describes	2617
describing	1872
descried	7
descries	1
description	5125
descriptions	1499
descriptive	684
descriptively	17
descriptor	54
descriptors	91
descry	3
