type	freq
acetabulum	5
acetal	3
acetaldehyde	49
acetate	159
acetates	8
acetic	125
acetone	43
acetyl	68
acetylcholine	78
acetylene	20
achaemenid	8
ache	419
ached	260
aches	175
achievable	212
achieve	6718
achieved	7875
achievement	3102
achievements	1496
achiever	32
achievers	72
achieves	341
achieving	1848
achillea	8
aching	458
achingly	42
achromatic	3
achy	12
acid	5231
acidic	191
acidification	120
acidified	59
acidifies	1
acidify	10
acidifying	6
acidity	286
acidly	74
acidophilus	3
acidosis	32
acidotic	7
acids	1018
acidulous	6
acing	1
acinus	2
ack	60
acknowledge	1457
acknowledged	2074
acknowledgement	551
acknowledgements	96
acknowledges	489
acknowledging	405
acknowledgment	95
acknowledgments	11
acme	48
acne	137
acolyte	22
acolytes	36
aconite	39
acorn	242
acorns	61
acoustic	784
acoustically	45
acoustics	123
acquaint	60
acquaintance	591
acquaintances	289
acquaintanceship	26
acquaintanceships	2
acquainted	312
acquainting	9
acquaints	3
acquiesce	65
acquiesced	69
acquiescence	172
acquiescent	35
acquiesces	1
acquiescing	26
acquire	1988
acquired	4054
acquirer	121
acquirers	19
acquires	237
acquiring	872
acquisition	2645
acquisitions	694
acquisitive	67
acquisitiveness	18
acquit	55
acquits	2
acquittal	122
acquittals	19
acquitted	371
acquitting	11
acre	866
acreage	110
acres	1574
acrid	114
acridly	1
acrimonious	135
acrimoniously	8
acrimony	77
acrobat	35
acrobatic	48
acrobatics	42
acrobats	43
acromegalic	1
acromegaly	17
acronym	89
acronyms	43
acrophobia	1
acrophobic	1
acropolis	99
across	24122
acrostic	5
acrostics	2
acrylate	6
acrylates	1
acrylic	305
acrylics	90
act	27545
acta	14
acte	8
acted	2288
actes	9
actin	98
acting	4941
actinian	1
actinic	10
actinomycin	52
action	22125
actionable	88
actioned	27
actioning	4
actions	4810
activate	324
activated	772
activates	91
activating	456
activation	567
activator	299
activators	62
active	7436
actively	1498
activism	114
activist	335
activists	961
activities	11487
activity	11517
actor	2067
actors	1605
actress	1080
actresses	187
acts	4628
actual	6790
actualisation	26
actualise	7
actualised	6
actualising	2
actualities	14
actuality	157
actualization	82
actualize	9
actualized	32
actualizes	2
actualizing	12
actually	25457
actuarial	212
actuaries	187
actuary	117
actuate	6
actuated	25
actus	51
acuities	1
acuity	59
acumen	111
acupressure	4
acupuncture	191
acupuncturist	17
acupuncturists	11
acute	2304
acutely	406
acuteness	12
acutes	6
acyclic	12
acyclovir	42
acyl	32
ad	3147
adage	115
adages	4
adagio	45
adamancy	2
adamant	378
adamantine	10
adamantly	61
adapt	997
adaptability	155
adaptable	240
adaptation	788
adaptations	364
adapted	1517
adapter	64
adapters	34
adapting	328
adaption	37
adaptive	333
adaptor	233
adaptors	79
adapts	73
adar	7
adat	4
add	8393
added	15159
addenda	17
addendum	89
adder	70
adders	34
addict	195
addicted	291
addicting	1
addiction	590
addictions	65
addictive	587
addicts	217
adding	3160
addition	9934
additional	7333
additionality	44
additionally	571
additions	742
additive	160
additives	250
addle	1
addled	35
addles	1
address	6939
addressed	2794
addressee	183
addressees	30
addresses	1321
addressing	1049
adds	2199
adduce	53
adduced	108
adduces	13
adducing	12
adduct	49
adducted	2
adduction	6
adducts	43
adenine	24
adenines	1
adenocarcinoma	111
adenoid	2
adenoidal	9
adenoidectomy	54
adenoids	22
adenoma	70
adenomas	106
adenomatous	95
adenosine	53
adenovirus	33
adept	268
adeptly	7
adeptness	4
adequacy	286
adequate	3537
adequately	1135
adhere	339
adhered	311
adherence	383
adherent	87
adherents	209
adheres	33
adhering	113
adhesion	343
adhesions	20
adhesive	360
adhesives	63
adiabatic	25
adieu	40
adieux	2
adios	12
adipic	3
adipose	13
adiposity	1
adit	16
adjacent	1627
adjacently	3
adjectival	80
adjectivally	3
adjective	506
adjectives	503
adjoin	17
adjoined	39
adjoining	716
adjoins	41
adjourn	131
adjourned	600
adjourning	24
adjournment	232
adjournments	6
adjourns	4
adjudge	4
adjudged	96
adjudges	1
adjudging	3
adjudicate	62
adjudicated	31
adjudicates	5
adjudicating	35
adjudication	291
adjudications	11
adjudicator	119
adjudicators	30
adjunct	157
adjuncts	42
adjure	1
adjured	10
adjuring	2
adjust	1085
adjustable	386
adjusted	1183
adjuster	43
adjusters	43
adjusting	528
adjustment	1425
adjustments	705
adjusts	92
adjutant	166
adjutants	3
adjuvant	40
adlib	38
adlibbing	1
admass	7
admin	154
administer	540
administered	1021
administering	317
administers	79
administration	6613
administrations	230
administrative	3549
administratively	89
administrator	700
administrators	793
admirable	474
admirably	246
admiral	788
admirals	55
admiralties	1
admiralty	295
admiration	932
admire	751
admired	1116
admirer	234
admirers	239
admires	93
admiring	337
admiringly	89
admissibility	102
admissible	245
admission	2265
admissions	621
admit	3626
admits	1250
admittance	58
admittances	1
admitted	5593
admittedly	709
admitting	609
admixed	1
admixes	1
admixing	2
admixture	24
adml	117
admonish	19
admonished	83
admonishes	6
admonishing	25
admonishment	9
admonishments	4
admonition	50
admonitions	18
admonitory	14
ado	110
adobe	252
adobes	1
adolescence	459
adolescences	1
adolescent	534
adolescents	318
adonai	7
adopt	2467
adopted	5366
adopter	20
adopters	79
adopting	810
adoption	1564
adoptions	18
adoptive	132
adopts	286
adorable	69
adoration	143
adore	158
adored	294
adorers	2
adores	67
adoring	96
adoringly	18
adorn	93
adorned	265
adorning	48
adornment	48
adornments	20
adorns	29
adrenal	24
adrenalin	288
adrenaline	120
adrenalines	1
adrenergic	38
adrift	218
adroit	34
adroitly	42
adroitness	11
ads	564
adsorb	9
adsorbed	23
adsorbing	1
adsorbs	3
adsorption	97
adulated	6
adulation	98
adulatory	12
adult	5106
adulterate	6
adulterated	17
adulterates	1
adulterating	1
adulteration	22
adulterer	16
adulterers	17
adulteress	14
adulteresses	1
adulteries	6
adulterous	37
adultery	280
adulthood	301
adults	3313
adumbrate	6
adumbrated	20
adumbrates	7
adumbrating	2
adumbration	5
advance	4976
advanced	4975
advancement	514
advances	1356
advancing	619
advantage	7223
advantaged	62
advantageous	370
advantageously	29
advantages	2920
advent	795
adventism	3
adventist	20
adventitious	21
adventitiously	1
advents	2
adventure	1498
adventured	6
adventurer	130
adventurers	477
adventures	522
adventuresome	7
adventuress	6
adventuring	28
adventurism	22
adventurous	449
adventurously	10
adverb	73
adverbial	54
adverbials	26
adverbs	97
adversarial	130
adversaries	111
adversary	241
adverse	1181
adversely	416
adversities	8
adversity	163
advert	445
advertise	503
advertised	781
advertisement	1166
advertisements	1001
advertiser	186
advertisers	310
advertises	44
advertising	4420
advertized	3
advertizing	4
advertorial	14
advertorials	9
adverts	396
advice	10334
advisability	24
advisable	530
advise	2023
advised	2517
advisedly	36
advisement	1
adviser	1527
advisers	1754
advises	281
advising	600
advisor	252
advisors	200
advisory	1651
advocacy	457
